"reviewer_info","Date","Review"
"Healed4good | 35-44 | Male |  On medication for 1 to less than 2 years |  Patient","2/12/2008","Treatment wasn't bad...until I decided to go off of it. I was given a heavy dose 300 mg/day. On it for ~18 months. Started to reduce the dosage and what I call 'neurochemelectrical discharges' started zapping my brain. It was tolerable and expected. Kept reducing the dosage slowly as directed. Finally made it down to 37.5mg/1x day and the 'neurochemeletrical' circus was raging...but slightly tolerable. Went totally off and felt like I was back in college having the worst psychadelic experience of my life. Called the Dr. and picked up two more titration packets with the 37.5s and eased them back in and then started staggering them every other day and longer. My brain finally settled down a little. I was ready to stop again, and did so. I was still seeing (and mostly feeling...tracers) but they were tolerable. I was off for 8 days...yes 8 (eight, 7+1, etc.) so it was out of my system but the psychadelic party was still going. I broke down and took a 75mg capsule I had...just in case... Bottom line. THIS STUFF IS REALLY, REALLY DIFFICULT TO GET OFF OF! Please consider this if your Dr. suggests it. Believe me, I know how bad things may seem, but please consider all options. I now have to start the original (or generic) Effexor at 25 mg for 7 days and then split them to 12.5 mg for 7 days. I am pretty tough (now anyway...) by most standards but this (withdrawl) is, in my opinion, worse than depression. I know how to take care of that now without meds. Just please look into it before getting on it. Read More Read Less  "
"Jessie | 19-24 | Female |  On medication for 2 to less than 5 years |   ","10/8/2007","I had a horrible time while I was on this medication.  My PCP put me on this right before I left home for college.  She thought the stress I was going through was related to depression but the fact was I was scared to move 15 hours away to go to school.  I was on this medication for 2 years and if I missed a single dose, I would feel the withdrawal symptoms immediately.  I would have trouble walking, very unsteady (like I was 80 years old), extreme sensitivity to light and sound, nausea, weakness, tired all the time.  When I tried to stop taking the medication, I couldn't go more than 2 days even with 37.5 mg.  Finally, I just had to deal with the withdrawal symptoms and laid on a couch for a whole week until I was completely detoxed.  It was the worst experience of my life...and the medicine did nothing to help my ""depression"".  RESEARCH everything before you start taking something that you know nothing about.  Don't trust your doctor just because they went to medical school.Read More Read Less  "
"LC | 35-44 | Female |  On medication for 5 to less than 10 years |  Patient","9/19/2007","This drug has saved my sanity.  I have been on and off Effexor 3 or 4 times.  If you do not go off of this drug slowly it can cause terrible side effects.  If taken as the doctor prescribes, it is great."
"Frank | 35-44 | Male |  On medication for 1 to less than 2 years |   ","9/18/2007","I started out with 37.5 mg as recommeded by my Doctor for a week. Then upped the dosage to 75mg as directed.  After I would say 6 months I wanted to cut back down to the 37.5 dossage.  I went off the charts. I went back to the 75mg, and since now I am at 150mg.  I hope that someday I will not have to take this anymore, but at this time it seems unlikely."
"BBs3 | 55-64 | Female |  On medication for 10 years or more |  Patient","11/7/2015","I have been using this for 15 years.  Same 75 mg  dosage.  No side effects at all.  Was very sad but noticed after about a month that things did not bother me as much.  It was very gradual.  Helped a lot.  No need to try to get off.  Why would anyone try to stop taking a medically necessary prescription?  If your brain has ceased making the necessary amount of serotonin to keep you stable, it is never going to get better.  You need to STAY on your meds.  People have caused their own problems by trying to stop taking meds on their own. Their doctors would have told them that if they had the sense to ask.  Read More Read Less  "
"JennyT | 35-44 | Female |  On medication for 1 to 6 months |  Patient","1/11/2015","Ive been taking Effexor for about a week now and I must say I have never felt better.  I have more energy and feel the need to get out and join the world again.  Ive been a prisoner of my own depression for about 5 years now and was apprehensive about taking any medication to treat it.  The medication Ive been prescribed in the past had little to no effect.  Effexor has completely changed everything for me.  I feel far more effective in day to day tasks and am finally looking forward to the future.Read More Read Less  "
"slushyboots | 25-34 | Female |  On medication for 1 to 6 months |  Patient","11/6/2007","I have been on effexor XR for a month and a half now, and have just adjusted my dosage from 75mg/day to 150mg/day, I have found it very easy to use, NO nausea/tremors, and only experienced slight headaches/trouble sleeping but I had that anyway. I am trying to be patient so that I can have relief from depression, and not worry about what the drug is doing to me. It affects EVERYONE DIFFERENTLY so please don't be scared of what others report about THEIR side effects. If you find it doesn't help keep your mood steady and positive, try something else like adding therapy or cognitive behavioural therapy to your 'arsenal of support'  Do not go off effexor cold turkey, this is stated everywhere and many people ignore this warning, which causes problems. Warnings and directions are there for a reason and following the instructions can help you to have a more positive, healthy experience with anti-depressants. I hope this has been helpful for those of you considering effexor for depression/anxiety or whatever it may be for you, and know that ANY step toward getting help for yourself is a good one!! also, congrats for educating yourself first!  good luck everyone. Read More Read Less  "
"jrluvsme2 | 45-54 | Female |  On medication for 10 years or more |  Patient","1/22/2015","Effexor XR was prescribed to me for depression, hot flashes, and panic attacks. this medication has helped me more than any other of its kind. I would highly recommend it if your current antidepressant, antianxiety, or hormone therapy isn't working for you. "
"calichase | 45-54 | Female |  On medication for 5 to less than 10 years |  Patient","11/27/2012","I'm getting off this medication by taking a regiment of Omega 3 complex and vitamin B12 ... seems to be working. Started on the medication for treatment of general depression. Wasn't informed by doctor of any side effects or withdrawal symptoms until I called panicked after skipping a dose. Long-term use created subtle issues that were hard to pin to the medication -- tiredness, muscle aches, headaches, hot flashes (gone now). Advice for those who want to stop: Try following suggestions of the website ""The Road Back,"" a nonprofit organization that specializes in getting people off this type of medication. Omega 3 complex (fish oil) mellows brain zaps for me and for the first time I have been able to reduce the dosage. Down to to 37.5 after taking 150 for nearly 9 years. Will quit for good in a week. Hope this helps someone else.Read More Read Less  "
"catmama8 | 65-74 | Female |  On medication for 10 years or more |  Patient","9/6/2018","I had tried about everything else and jsut was not being helped. Went through a research project for Effexor XR and found it to help me more than anything else ever had and it took me half my life to find it.  I feel human with this med.  I have taken it for at least 20 years"
"LULU1971 | 35-44 |  On medication for 1 to less than 2 years |  Patient","6/21/2016","Listen to me, do not and i repeat do not take this medication.  yes, it helps with depression because it completely wipes out all emotion, good or bad.  you cannot get off this stuff without suffering severe withdrawl symptoms, not limited to but including: wishy washy brain zaps, dizziness, joint pain in shoulders, elbows, knees and knees. it is not easy at all to get off of.  i am off of it and i do believe it has caused joint damage and brain damage to my body.  be aware!!!"
"Crocodile1 | 35-44 | Male |  On medication for 1 to less than 2 years |  Patient","10/5/2009","Effexor XR is not effective until you get to the 150mg threshold.  It is FDA approved up to 225mg/day, but many doctors prescribe way higher than this with good results.  I saw one post on here where the person said the drug didn't work and they were at 37.5mg/day.  Yes, the drug will have virtually no effect on you at that low dosage!!    I've been on it a year and I'm at 300mg/day.  It is a wonderful medicine, but I don't like the sweating and the fact that it raises blood pressure.  People, DO NOT trust your primary care or family doctor to know about these psychoactive drugs.  They mean well, but a Psychiatrist is where you need to go for the guys who know everything about psychoactive drugs.  Also, I am not a doctor, nor do I work for a drug company.  I just wanted to throw some facts out there for people to use so that they can be helped.  Read More Read Less  "
"Tender_heart1967 | 35-44 | Female |  On medication for 2 to less than 5 years |  Patient","9/30/2007","I have been on this for nearly 5 years now. Does anyone else notice any weight gain when taking this drug? I haven't changed eating habits that much really and my weight has ballooned since taking this med. Anyone relate?"
"effexor VICTIM | 55-64 | Female |  On medication for 2 to less than 5 years |  Patient","6/30/2009","THIS IS A HORRIBLE DRUG!!!!! HIGHLY ADDICTIVE!!!! DO NOT TAKE!!!I have watched my mother, who has never taken a recreational drug in her life struggle with this drug almost killing her (literally) from the withdrawl symptoms. She began taking it to treat her hot flashes and depression and built up to 225mg. All was well and wonderful, that is until she ran out of insurance, lost her company and could no longer afford the outrageously expensive drug. She stopped taking the drug and began to feel like she was shutting down, physically and mentally. I have struggled with opiate addiction for a few years now and i think there is no worse feeling than the withdrawl you experience when quitting. that was until i saw my mom go through this. she went to the hospital for what she was feeling (not knowing it was effexor withdrawl) and they told her that her body was literally shutting down. Once she started telling them the medication and dose she was on, they knew right away it was the effexor. since then she has only been able to ween down to 75mgs, due to the fact that YOU CAN LITERALLY DIE FROM THE WITHDRAWL OF THIS DRUG. She feels too awful when she tries to take any lower of a dose. She feels like she cant control any mental functions, she feels out of body, horrific nightmares, can't sleep right, complete physical drain, awful rages. And thats just the symptoms that wont actually kill you!!!Just take the time to research the class action lawsuit against Wyeth. And the thousands of blogs about the people going through the same things i have described here. Please just don't take this drug, i wouldn't wish this experience on my worst enemy.Read More Read Less  "
" Anonymous | 19-24 | Female |  On medication for 1 to 6 months |  Patient","12/16/2014","Effexor has been really good. I've had depression, PTSD, anxiety, and never wanted to take pills for it, but after a major upsetting event in my life, I pretty much had no choice and was forced into it by loved ones. Crappy time emotionally. But, I was SURPRISED by the results. It works. It doesn't make my life 100% amazing or even 75% and all problems go away instantly in any means, I get really sad still, but I can function. For anyone struggling to see improvement when taking anti-depressants, please don't give up. After my first drug didn't work, I was so done with it all but agreed to try ONE more time for something and it's working. There are so many anti-depressants out there...don't give up hope.Read More Read Less  "
"M | 55-64 | Female |  On medication for 5 to less than 10 years |  Patient","5/26/2013","DON'T TAKE THIS, DO NOT STOP TAKING IT WITHOUT YOUR DR. 'S HELP!!! I HAVE BEEN OFF IT 2 MONTHS NOW AND I AM STILL HAVING DAYS OF NAUSEA IT IS BAD, AND IF YOU SMOKE IT MAKES YOU SMOKE MORE, I WAS SMOKING 2 PACKS A DAY NOW I DON'T EVEN SMOKE I PACK A DAY, AND I WAS DRINKING COFFEE ALL DAY, NOW I CAN ONLY DRINK 2 MAYBE 3.  DON'T TAKE THIS MEDICATION!!! I THINK THE FDA AND GOVERNMENT LOOKS OUT FOR THE MONEY MAKING PEOPLE LIKE (DRUG CO.)  WE GET ADDICTED!!! THEY EVEN CONTROL THE COST WICH IS WAY TO MUCH! I KNOW WE NEED MEDICINE AND I'M NOT SAYING  STOP TAKING IT, BUT THIS ONE IS BAD COMING OFF, AND I HAVE DEPRESSION, ADD, AND OCD AND IT IS DRIVING ME CRAZY, BUT I AM AFRAID OF TRYING ANOTHER MED. ALL I DO RIGHT NOW IS PRAY!!!Read More Read Less  "
"Edie | 55-64 | Female |  On medication for 1 to less than 2 years |  Patient","8/14/2016","I love this med, it has saved my life. After only a few doses I felt better.I am afraid to ever get of this drug because it makes me feel happy again and my depression is gone."
"Stacie | 35-44 | Female |  On medication for 2 to less than 5 years |  Patient","6/17/2015","DO NOT START THIS MEDICINE UNLESS YOU PLAN ON TAKING IT FOREVER. Getting off of it is horrible. I have been taking it about 2 years,first for hot flashes caused by cancer preventing medicine, then I stayed on it because it helped me with my job stress. I have been trying to get off of it for about 3 months. I can go 2 days between pills but when it gets to 3 days I get horrible nausea, dizziness, lightheadedness, fatigue so bad I have to drag myself out of bed. I literally thought I was dying until I figured out that it was going without the drug that was causing the problems. I will definitely be sharing my experiences with my oncologist who prescribed it at my next check up.Read More Read Less  "
"shirlgirl | 55-64 | Female |  On medication for 10 years or more |  Patient","4/17/2012","I am trying to get off this drug. Are headaches part of coming down off this med?  Also I am experiencing short-circuit like  feeling in my head. Like small electric strikes or something, especially when I lay my head down to sleep. How long does it take to get it out of your system? I have been off the med for 1 month or so, cold turkey.  "
"cabat71 | 35-44 | Female |  On medication for 1 to less than 2 years |  Patient","4/29/2010","This drug was a godsend. I am on what my doctor consideres is a half dose (75 mg) and am responding really well. The first few weeks were rough, but once I got used to the medication, I haven't had a single panic attack since. I have been able to fly, attend concerts, movies, and feel like my old self again. I wish I would have tried this sooner."
"lynn | 65-74 | Male |  On medication for 6 months to less than 1 year |  Patient","4/8/2010","WHAT I LIKED THE MOST WAS THE SHORT PERIOD OF TIME REQUIRED FOR THE MEDICATION TO PROVIDE RELIEF ABOUT 7 DAYS"
"ashhhley | 19-24 | Female |  On medication for 2 to less than 5 years |  Patient","10/13/2010","the only bad thing is weight gain"
"Lil Lynn | 35-44 | Female |  On medication for 2 to less than 5 years |  Patient","4/22/2010",""
" Anonymous | 35-44 | Male |  On medication for 1 to 6 months |  Patient","7/3/2012","Before taking this medication,I was depressed and had a very short fuse. I was on prozac for 10 years and did not seem to be working anymore. My doctor put me on 75mg per day and it has been a life changer. I feel somewhat normal again. I dont walk around with my head in the clouds but I am not in a bad mood all the time anymore either. I have had a loss of apetite but that is the only side effect so far.  "
" Anonymous | 55-64 | Female |  On medication for 2 to less than 5 years |  Patient","3/26/2008","this drug has evened out my ""moods"" and has made a world of difference in dealing with life situations."
"Catherine | 55-64 | Female |  On medication for 5 to less than 10 years |  Patient","9/12/2010","I am very frighted to be without this drug.  I'm not sure that I could function normally,"
"[email protected] | 45-54 | Female |  On medication for 2 to less than 5 years |  Patient","2/12/2008","this drug has made aworld of difference for me. i no longer want to scream. my anxiety level is very tolerable and i never want ti be without this medicine. i wasted alot of my life worrying and stressing  but not anymore."
"Mom40 | 35-44 | Female |  On medication for 1 to 6 months |   ","12/23/2021","I have never written one of these types of reviews but found myself looking for personal experiences of this drug when I was prescribed it and found that super helpful.
I'm a 40-year-old mother of two who has suffered from an anxiety disorder for as long as I can remember. My life was drama and chaos - always thought people were upset with me, didn't like me, were talking about me, etc. I couldn't drive without thinking about getting in a horrible accident or panic every time my kids wanted to play outside with their friends.
I went on Cipralex a few years back and it helped a bit, but I also gained about 10 lbs and still had some anxiety. About a month and a half ago I was prescribed Effexor and I was nervous about taking it as I had read so many scary reviews. Still, I also read a lot of positive ones so thought I'd give it a whirl. I started off at the the lowest dose and gradually increased each week until I got to 150mg. I felt super tired, dizzy and nauseous the first few weeks, which led me to easily losing 5lbs. At around the 1 month mark I started feeling AMAZING. I feel so calm, centred and content, which is something I have never felt before in my life. I'm about to spend Christmas with people who normally cause me so much anxiety and stress, but I am not anxious about it one bit. I have heard it is tough to come off of this pill, but I honestly don't think I'll ever want to go off of it. I keep eating chips, junk food and haven't really been working out lately but have now lost 8 lbs without trying at all. My biggest tip would be to take the pill in the morning as when I took it at night I couldn't sleep. Only side effect I'm experiencing is constipation.Read More Read Less  "
" Anonymous | 25-34 | Female |  On medication for 2 to less than 5 years |  Patient","4/17/2008","I have found that Effexor has been a very successful treatment of my anxiety disorder.  I no longer have panic attacks.  Effexor has been easily tolerated with little side effects.  The only issue I had was a little dizziness during the first week of treatment.  I would recommend this to anyone seeking help with anxiety."
" Anonymous | 55-64 | Male |  On medication for 2 to less than 5 years |  Patient","3/9/2009","After years of treatment for anxity disorder (runs in my family)and many med trials a new dr recomended Effexor XR. After about six weeks I noticed a general calming in situtations that used to panic me. The change was subtle and my wife was the first to notice.   The only down side was the loss of ability to have an orgasm. The ""rest"" still works fine."
"Grammyof6 | 55-64 | Female |  On medication for 1 to less than 2 years |  Patient","10/22/2008","I have suffered from anxiety for most of my adult life but thought such feelings were normal!  I had been given lorazepam for anxiety attacks, but the saddness, hopelessness and crying were getting worse.  Dealing with an elderly mother,my husband's severe health issues, working part time and trying to find time to be ""Grammy"" I decided to talk to my new primary care physician.  I started on 75, went to 150.  I was afraid I would become a crazy laughing person with no idea of reality.  Not true--I am ME.  I love this medication! Read More Read Less  "
" Anonymous | 19-24 | Female |  On medication for 2 to less than 5 years |  Patient","4/14/2008","tried 10+ other drugs before finding effexor. withdrawl is difficult (have done it twice before under doctor's care) but worth it. i lack daily anxiety episodes, i am happier (also being treated for depression), i sleep well, i don't really have any negative side effects."
" Anonymous | 25-34 | Female |  On medication for 1 to 6 months |  Patient","12/30/2007",""
" Anonymous | 35-44 | Female |  On medication for 2 to less than 5 years |  Patient","3/22/2011",""
"JW | 25-34 | Female |  On medication for 5 to less than 10 years |  Patient","3/4/2008","Effexor XR changed my life. Going on 6 years taking it, and I even reduced from 150mg to 75mg a few years ago. I have trouble with the sweating and a little sleep trouble - but I am more than happy to deal with that rather than the panic attacks and fits of rage, depression and hyperness... I live my days very calm now, and my relationships don't suffer anymore. I can't imagine going back to those extreme highs and lows.  The only thing I worry about are the long term effects - I would eventually like to trial a 'natural' solution, but for now I won't risk the contentment.Read More Read Less  "
"Aimee | 35-44 | Female |  On medication for 10 years or more |  Patient","11/15/2017","After years of trying various other antidepressants, Effexor (which the family calls the ""anti-bitch"" pill) has been by far the greatest!!  I take 150 mg XR per pay in combination with Klonopin for about 10 years.  Love it!"
"terry | 45-54 | Female |  On medication for 2 to less than 5 years |  Patient","1/29/2008","If I don't take it, by the 2nd day I am very dizzy and fill sick.  However once back on track symptoms disappear.  Taking consistently helps me cope with my anxiety.  I think clearer and have more postive thoughts.  I react with less obsessive emotion then in past."
"linnyb74 | 45-54 | Female |   Patient","3/5/2012","It worked well right away after slowly coming off Lexipro I took 1 pill every other day for 10 days and on the last day started the effexor xr and what a difference it made right away, I take it 2 times a day and if I miss a dose I know as I start to feel like electric impulses in my head. So I know I need it. No other side effects as of yet and I hope not to get any.  "
"shirlgirl | 55-64 | Female |  On medication for 10 years or more |  Patient","4/17/2012","I am trying to get off this drug. Are headaches part of coming down off this med?  Also I am experiencing short-circuit like  feeling in my head. Like small electric strikes or something, especially when I lay my head down to sleep. How long does it take to get it out of your system? I have been off the med for 1 month or so, cold turkey.  "
"cabat71 | 35-44 | Female |  On medication for 1 to less than 2 years |  Patient","4/29/2010","This drug was a godsend. I am on what my doctor consideres is a half dose (75 mg) and am responding really well. The first few weeks were rough, but once I got used to the medication, I haven't had a single panic attack since. I have been able to fly, attend concerts, movies, and feel like my old self again. I wish I would have tried this sooner."
"lynn | 65-74 | Male |  On medication for 6 months to less than 1 year |  Patient","4/8/2010","WHAT I LIKED THE MOST WAS THE SHORT PERIOD OF TIME REQUIRED FOR THE MEDICATION TO PROVIDE RELIEF ABOUT 7 DAYS"
"ashhhley | 19-24 | Female |  On medication for 2 to less than 5 years |  Patient","10/13/2010","the only bad thing is weight gain"
" Anonymous |   Patient ","8/11/2021","Has completely changed my life. I went from super highs and lows, now I feel like normal. I’m not numbed out like other ssri’s I still have feelings and feel normal. Didn’t take away my sex drive :) Also scared to get off it or miss a dose because of the headaches and nausea."
"Lil Lynn | 35-44 | Female |  On medication for 2 to less than 5 years |  Patient","4/22/2010",""
" Anonymous | 35-44 | Male |  On medication for 1 to 6 months |  Patient","7/3/2012","Before taking this medication,I was depressed and had a very short fuse. I was on prozac for 10 years and did not seem to be working anymore. My doctor put me on 75mg per day and it has been a life changer. I feel somewhat normal again. I dont walk around with my head in the clouds but I am not in a bad mood all the time anymore either. I have had a loss of apetite but that is the only side effect so far.  "
" Anonymous | 55-64 | Female |  On medication for 2 to less than 5 years |  Patient","3/26/2008","this drug has evened out my ""moods"" and has made a world of difference in dealing with life situations."
"drr | 55-64 | Female |  On medication for 10 years or more |  Patient","6/25/2009","this also helped with migraine headaches and constant neck and shoulder pain,in addition to the anxiety I experience at work"
" Anonymous | 55-64 | Female |  On medication for 10 years or more |  Patient","9/17/2008","Felt definite relief of depressive symptoms and anxiety."
"Catherine | 55-64 | Female |  On medication for 5 to less than 10 years |  Patient","9/12/2010","I am very frighted to be without this drug.  I'm not sure that I could function normally,"
"[email protected] | 45-54 | Female |  On medication for 2 to less than 5 years |  Patient","2/12/2008","this drug has made aworld of difference for me. i no longer want to scream. my anxiety level is very tolerable and i never want ti be without this medicine. i wasted alot of my life worrying and stressing  but not anymore."
